from_stop_id,to_stop_id,transfer_type,min_transfer_time
1888,9043,0,
1888,2939,0,
11108,12074,0,
1477,1394,2,300
1477,1393,2,300
1477,1858,2,300
1477,1477,0,
1885,1866,0,
1885,1885,0,
11940,12230,0,
11940,11943,0,
11940,12332,0,
11940,11942,0,
11940,12022,0,
11940,11941,0,
11940,8033,2,120
8139,1482,0,
8139,1709,0,
8139,963,0,
11827,10436,2,420
11827,3317,2,300
11827,11827,0,
1886,10092,0,
1886,1865,2,300
1886,1886,0,
1892,1892,0,
2742,12318,0,
2742,1482,2,300
2742,1709,2,120
2742,963,0,
2742,1387,0,
12241,12232,0,
12241,12233,2,300
12241,12240,2,360
1391,2769,0,
1391,1479,0,
1391,1391,0,
1858,1394,0,
3178,3220,0,
3179,3179,0,
3180,3218,2,300
12020,12230,0,
12020,12231,0,
12020,11943,0,
12020,12332,0,
12020,11942,0,
12020,12022,0,
12020,11941,0,
12020,8020,2,120
3181,11943,2,600
3181,11942,2,600
3181,3181,0,
3331,12267,2,300
3331,12272,0,
3333,12277,2,300
3333,3954,2,300
3198,3975,2,300
3198,10132,2,300
3906,3053,0,
3906,3927,0,
3906,3394,0,
3906,3204,0,
3906,3533,0,
3906,3067,0,
3906,8021,2,120
3906,8032,2,120
3906,3334,0,
3906,3904,0,
3906,7643,0,
3906,3195,0,
3057,12074,0,
3057,3480,0,
3057,3057,0,
3057,11108,0,
3058,3062,0,
3058,3058,0,
3059,3728,0,
3059,3479,2,300
3779,3822,0,
3779,3806,0,
3779,3385,0,
3779,3478,0,
3779,8022,2,120
3056,3064,2,300
3056,9494,2,360
1393,1394,2,360
1865,10092,0,
1865,1865,0,
11402,10436,0,
11402,3317,2,360
11402,11402,0,
3317,10436,2,360
3317,3317,0,
3317,11827,2,300
12242,12233,2,360
12242,12242,0,
9714,12208,2,360
9714,9714,0,
3908,12238,2,300
3908,3782,2,360
12263,12263,0,
3195,12234,0,
3195,12235,0,
3195,3053,0,
3195,3927,0,
3195,3394,0,
3195,3204,0,
3195,3769,0,
3195,3533,0,
3195,12018,0,
3195,3067,0,
3195,8021,2,120
3195,8032,2,120
3195,3334,0,
3195,3904,0,
3195,7643,0,
3195,3195,0,
3195,3906,0,
3984,10138,2,300
11959,11952,0,
11557,11556,0,
10592,11407,0,
9981,10139,0,
10134,10134,0,
3904,12234,2,360
3904,12235,0,
3904,3053,0,
3904,3927,0,
3904,3394,0,
3904,3204,0,
3904,3769,0,
3904,3533,0,
3904,3067,0,
3904,8021,2,120
3904,8032,0,
3904,3334,0,
3904,3904,0,
3904,7643,0,
3904,3195,0,
3904,3906,0,
3968,3979,0,
10132,3784,2,300
10132,3975,2,300
10132,3198,0,
3973,3801,2,300
3973,12028,0,
9282,9414,0,
9282,9282,0,
3975,3784,2,300
3975,3198,0,
10145,10145,0,
10145,9283,0,
4644,4674,0,
4644,4644,0,
8643,8643,0,
1487,1487,0,
4491,4660,2,120
4491,11867,0,
4491,4461,0,
4491,4491,2,120
4647,4670,0,
4652,4652,0,
4652,4665,0,
4654,4832,0,
4461,11867,0,
4461,4461,2,120
981,635,2,480
981,981,0,
981,1487,0,
983,1856,2,480
984,8077,2,420
984,8040,2,360
984,409,2,360
984,534,2,300
984,44,0,
984,4882,2,360
984,76,2,600
4658,82,2,480
4658,10670,0,
985,11272,2,300
985,4881,2,480
985,11522,2,300
985,11523,0,
985,4882,2,300
985,10399,2,480
985,11535,2,480
8028,7777,2,120
8028,9667,2,120
8029,7827,2,120
8029,7658,2,120
8029,7727,2,120
8030,11559,2,120
8030,7736,2,120
8030,7650,0,
8031,3822,2,120
8031,3806,2,120
8031,3728,2,600
8031,3385,2,120
8031,3816,2,120
8031,3478,2,120
8031,3779,2,120
8032,12234,0,
8032,12235,0,
8032,3053,2,60
8032,3927,2,120
8032,3394,2,120
8032,3204,0,
8032,3769,0,
8032,3533,2,120
8032,3067,2,120
8032,3334,2,120
8032,3904,2,120
8032,7643,2,120
8032,3195,2,120
8032,3906,2,120
8033,12230,0,
8033,11943,2,120
8033,12332,2,120
8033,11942,2,120
8033,12022,2,120
8033,11941,2,120
8033,11940,2,120
8034,8039,2,300
8034,11302,2,480
8034,11438,2,480
8034,40,2,480
8034,10553,2,480
8034,189,2,540
8034,12368,2,480
8034,9069,2,480
8034,938,2,420
8034,971,2,540
8034,35,2,480
8034,8035,2,480
8034,95,2,540
8034,78,2,480
8020,12230,0,
8020,12231,0,
8020,11943,0,
8020,12332,2,120
8020,11942,2,120
8020,12022,2,120
8020,11941,2,120
8020,12020,2,120
